Region,Product,Date,Sales
South,Board2,16/03/2015,100308.7559
West,Game10,02/05/2013,65824.37301
North,Game3,02/01/2014,78488.77647
South,Dyno2,02/10/2011,36987.84956
North,Game8,03/04/2011,28013.17286
North,Dyno4,16/09/2010,18192.7951
North,Board2,17/12/2015,113945.7647
South,Game4,03/04/2013,64663.23978
North,Game10,24/10/2014,93012.55135
West,Dyno5,26/08/2011,35464.07375
South,Board5,16/09/2012,54665.24841
East,Board3,13/08/2011,34044.0828
South,Dyno3,09/03/2010,8672.084433
North,Game1,05/04/2015,100861.4465
East,Dyno4,27/09/2013,72629.19944
West,Board4,13/01/2011,23610.45488
North,Board1,19/04/2014,83492.95682
South,Game6,09/03/2011,26741.61191
North,Dyno4,04/08/2010,15861.37249
South,Game5,18/01/2013,60577.88246
North,Dyno4,31/07/2012,52029.70838
North,Dyno4,12/07/2015,106047.4847
North,Game3,10/05/2016,121177.6176
North,Board4,16/12/2012,58902.19552
South,Game10,31/07/2011,34016.96993
West,Game7,21/05/2015,103118.1093
North,Game9,29/07/2013,70349.70108
South,Game1,21/10/2014,92662.16059
North,Game9,02/11/2014,93014.32181
North,Dyno3,02/04/2013,64121.64782
North,Board5,08/08/2010,16176.14153
West,Dyno4,27/12/2010,22897.85099
South,Dyno5,28/12/2012,59429.91694
West,Game8,19/02/2014,80233.21612
North,Dyno3,21/08/2013,71600.99401
North,Game7,17/01/2013,60729.37825
North,Dyno4,04/11/2013,75039.46922
North,Dyno4,22/03/2014,82023.73928
West,Game9,04/12/2011,40299.0886
North,Game3,01/05/2013,66077.11933
North,Game3,11/09/2012,54426.68084
West,Game10,28/09/2013,72936.2895
North,Game9,25/08/2012,53574.66421
North,Game7,13/05/2015,103058.6562
East,Game8,28/05/2013,66633.94898
West,Board3,18/09/2013,72672.85411
North,Dyno5,22/11/2014,94552.89099
North,Game7,28/05/2014,85315.22911
North,Game9,26/02/2012,44308.75428
East,Game3,29/08/2010,16736.82995
North,Dyno2,28/11/2013,76246.43015
North,Dyno2,24/01/2010,6266.234414
North,Game4,02/10/2012,55356.30595
North,Game8,05/03/2014,81193.34828
North,Game7,01/02/2016,116183.1315
North,Game9,02/01/2013,59967.56502
North,Game7,31/12/2010,23529.17805
South,Game6,26/05/2013,67323.57903
South,Dyno3,04/03/2016,118008.6456
North,Game5,04/01/2014,78176.90812
North,Dyno4,30/04/2013,65635.30766
West,Game1,29/12/2011,41195.96906
North,Game2,28/05/2010,12589.15021
North,Board2,05/05/2010,11594.30008
North,Game4,16/02/2015,98551.76298
North,Game2,16/12/2011,40958.29277
North,Board2,09/09/2014,90535.20203
South,Game7,03/01/2010,5297.25625
North,Game4,28/07/2011,33514.83356
South,Board5,25/10/2012,56769.82882
West,Board3,14/07/2011,32899.79408
West,Board2,23/02/2011,25621.23078
South,Dyno4,12/09/2012,54722.83984
South,Dyno2,17/01/2010,5787.440041
South,Board2,12/06/2014,86211.09207
North,Dyno1,02/07/2013,68980.60665
East,Dyno2,04/05/2014,83667.64179
North,Game4,12/02/2015,98382.26307
South,Game9,23/05/2015,103444.2576
South,Game5,07/07/2010,14292.52694
East,Dyno5,28/09/2015,109436.2443
West,Dyno3,01/11/2013,74709.83578
North,Board1,06/08/2013,70591.70952
North,Board3,06/03/2011,26286.67954
North,Game6,25/01/2013,60852.70324
South,Board1,26/10/2011,38415.28871
South,Board2,24/10/2011,38259.61508
South,Dyno5,25/02/2010,8201.341714
North,Board4,13/02/2012,43482.95376
North,Dyno5,01/09/2010,17238.42438
North,Board2,26/10/2013,74993.35326
West,Dyno4,19/01/2010,5821.781555
North,Game8,10/04/2013,64598.42554
North,Game4,26/05/2016,122123.6197
South,Dyno3,22/02/2012,44184.30178
East,Board1,11/08/2014,88515.97686
East,Game6,17/03/2014,81341.36597
West,Dyno2,01/09/2013,71604.06539
South,Dyno1,16/01/2016,115438.3031
West,Game8,26/04/2014,83984.3038
South,Game8,03/06/2011,30917.57463
South,Game3,16/02/2013,62135.28484
North,Dyno5,25/11/2010,21415.53512
East,Dyno4,31/05/2015,103589.8966
North,Dyno1,25/12/2014,95843.80478
North,Dyno4,02/07/2011,32692.37224
South,Board2,05/08/2014,89085.59455
North,Game9,04/07/2014,87324.65489
North,Board4,18/01/2011,24027.12247
North,Game8,10/06/2011,31422.4126
North,Dyno1,07/11/2010,20668.14964
West,Dyno3,06/01/2010,4808.220503
North,Game9,26/01/2010,6456.631484
South,Game7,18/03/2014,81935.61044
North,Game5,27/10/2012,56736.15941
North,Game7,13/06/2012,49505.32454
North,Game6,10/01/2011,23916.22069
West,Board1,25/12/2015,114194.3667
North,Game2,06/12/2013,76872.90209
South,Dyno2,05/09/2014,90887.70219
West,Game9,29/01/2012,42812.04721
East,Game5,14/01/2010,4868.075479
North,Game3,25/08/2013,71713.88465
East,Game8,17/09/2010,17806.91462
South,Game5,18/07/2011,33224.97471
North,Board5,25/03/2013,64228.34042
South,Game7,11/07/2012,51559.15794
South,Game10,20/09/2015,109609.5908
West,Game3,11/06/2010,13133.00978
East,Game8,10/09/2013,71783.74777
South,Game2,06/08/2014,88775.91947
North,Game5,14/04/2014,83380.39169
North,Board1,04/10/2013,73707.48398
North,Game2,20/08/2015,107903.6867
North,Dyno3,21/01/2015,97656.0197
South,Game10,10/05/2012,48310.73826
West,Game1,08/09/2015,108635.508
North,Dyno3,08/03/2016,118113.4565
South,Dyno1,20/10/2010,19965.23226
South,Game7,23/07/2014,88553.49318
West,Game2,19/10/2014,92632.06406
South,Dyno4,27/08/2014,90123.8214
East,Game9,23/06/2011,31208.10835
South,Game8,26/08/2014,90298.34424
North,Game3,09/01/2015,96871.64489
North,Board4,19/04/2016,120186.1857
South,Board1,02/08/2013,70772.31971
South,Dyno3,07/04/2011,28368.23622
South,Game5,20/07/2012,51988.77352
South,Board4,08/04/2015,101489.6087
South,Dyno5,20/06/2011,32190.73736
North,Game6,09/06/2015,104423.862
North,Game3,19/04/2014,83102.00682
East,Dyno4,29/07/2010,14972.27704
East,Dyno1,27/05/2013,66546.80184
South,Dyno3,07/11/2013,75590.92564
North,Game7,10/01/2013,60516.34477
South,Game6,03/02/2013,61787.96792
West,Game2,24/03/2014,82066.47398
North,Dyno4,06/06/2012,49191.56424
West,Game8,19/01/2011,23949.45519
South,Board3,06/09/2015,108986.9225
North,Dyno3,21/07/2014,88401.55795
East,Game7,21/06/2012,49265.81454
East,Game10,18/07/2015,105709.5226
West,Game3,31/05/2013,67092.38426
North,Game2,27/08/2013,71972.44362
South,Game6,29/01/2013,61749.61774
South,Game8,28/10/2013,74972.70481
East,Board3,06/04/2014,82427.21699
South,Board3,19/08/2013,71850.14089
East,Game4,12/12/2010,21523.78625
North,Dyno4,11/12/2014,95651.52595
East,Board4,26/05/2010,11613.27496
North,Game3,10/01/2011,23825.30627
North,Dyno3,30/11/2013,76456.03548
East,Game5,13/08/2012,52226.33201
North,Game7,04/10/2011,37321.73303
North,Dyno2,11/07/2013,69511.33496
South,Board4,03/04/2015,101147.9624
East,Game5,13/05/2012,47616.48401
North,Game3,30/01/2010,6256.65955
West,Game1,20/12/2013,77453.1712
North,Dyno2,21/04/2013,65567.08822
South,Game3,01/02/2011,24921.15341
North,Dyno4,08/12/2011,40675.08291
West,Board1,09/03/2011,26610.06554
South,Game9,18/04/2014,83843.51191
North,Game3,15/04/2011,28873.97378
South,Board4,17/06/2013,68394.79956
North,Game6,25/06/2014,87097.59698
West,Dyno4,07/11/2013,75088.01229
North,Game9,19/02/2012,44038.28845
South,Board1,03/12/2013,77377.50959
North,Game4,01/10/2015,109952.3981
North,Game6,08/05/2016,121001.5799
West,Board3,13/08/2015,107471.8449
North,Board1,27/12/2012,59810.78338
North,Dyno5,14/09/2011,36598.46168
South,Board5,01/08/2011,34620.39592
North,Board2,25/07/2011,33658.89933
North,Game6,03/03/2013,62902.96852
North,Dyno2,10/08/2012,52633.59165
South,Game8,05/02/2015,98146.63618
East,Board4,07/07/2013,68640.08866
North,Dyno1,29/06/2015,105480.2235
North,Board5,15/05/2011,30116.22629
North,Game6,01/05/2016,120842.8618
North,Board2,05/12/2014,94966.46125
North,Board5,19/01/2016,115380.5503
East,Dyno3,25/01/2015,97338.42191
North,Dyno4,02/04/2010,9536.01364
West,Game9,25/10/2010,19546.4083
South,Game6,21/11/2014,94598.16413
South,Game10,10/02/2016,117014.5259
South,Dyno5,28/01/2016,116037.1968
North,Game8,11/03/2010,8439.664683
North,Board1,12/08/2014,88993.44795
South,Dyno5,14/08/2014,89876.47419
East,Board4,22/05/2013,66273.54705
South,Board3,03/08/2015,107453.1368
North,Game2,29/03/2011,27422.9206
East,Dyno5,12/09/2012,54023.41035
North,Game4,17/04/2015,101552.8697
South,Game4,22/01/2016,116198.4156
South,Dyno5,23/03/2014,82768.93006
South,Game3,21/11/2011,39913.08036
North,Game1,07/09/2014,90622.08599
East,Game3,06/04/2011,27351.58647
North,Game4,17/06/2010,13528.57241
East,Board4,15/03/2016,117498.8783
